Tanggal ,Total Penjualan
01/10/2023,0
02/10/2023,60
03/10/2023,0
04/10/2023,60
05/10/2023,80
06/10/2023,60
07/10/2023,140
08/10/2023,0
09/10/2023,60
10/10/2023,0
11/10/2023,60
12/10/2023,0
13/10/2023,60
14/10/2023,0
15/10/2023,0
16/10/2023,60
17/10/2023,0
18/10/2023,65
19/10/2023,200
20/10/2023,60
21/10/2023,0
22/10/2023,0
23/10/2023,70
24/10/2023,0
25/10/2023,60
26/10/2023,0
27/10/2023,60
28/10/2023,0
29/10/2023,0
30/10/2023,60
31/10/2023,0
01/11/2023,0
02/11/2023,60
03/11/2023,0
04/11/2023,100
05/11/2023,0
06/11/2023,0
07/11/2023,60
08/11/2023,90
09/11/2023,60
10/11/2023,60
11/11/2023,60
12/11/2023,0
13/11/2023,60
14/11/2023,60
15/11/2023,60
16/11/2023,60
17/11/2023,60
18/11/2023,60
19/11/2023,0
20/11/2023,60
21/11/2023,60
22/11/2023,60
23/11/2023,60
24/11/2023,60
25/11/2023,60
26/11/2023,0
27/11/2023,60
28/11/2023,60
29/11/2023,60
30/11/2023,60
01/12/2023,80
02/12/2023,0
03/12/2023,0
04/12/2023,80
05/12/2023,0
06/12/2023,80
07/12/2023,0
08/12/2023,80
09/12/2023,0
10/12/2023,0
11/12/2023,80
12/12/2023,0
13/12/2023,80
14/12/2023,0
15/12/2023,80
16/12/2023,0
17/12/2023,0
18/12/2023,80
19/12/2023,0
20/12/2023,80
21/12/2023,0
22/12/2023,80
23/12/2023,0
24/12/2023,0
25/12/2023,0
26/12/2023,80
27/12/2023,0
28/12/2023,80
29/12/2023,0
30/12/2023,80
31/12/2023,0
01/01/2024,0
02/01/2024,0
03/01/2024,80
04/01/2024,0
05/01/2024,80
06/01/2024,0
07/01/2024,0
08/01/2024,80
09/01/2024,0
10/01/2024,80
11/01/2024,0
12/01/2024,80
13/01/2024,0
14/01/2024,0
15/01/2024,80
16/01/2024,0
17/01/2024,80
18/01/2024,0
19/01/2024,80
20/01/2024,0
21/01/2024,0
22/01/2024,80
23/01/2024,0
24/01/2024,80
25/01/2024,0
26/01/2024,80
27/01/2024,0
28/01/2024,0
29/01/2024,80
30/01/2024,0
31/01/2024,80
01/02/2024,0
02/02/2024,90
03/02/2024,0
04/02/2024,0
05/02/2024,90
06/02/2024,0
07/02/2024,90
08/02/2024,0
09/02/2024,90
10/02/2024,0
11/02/2024,0
12/02/2024,80
13/02/2024,0
14/02/2024,90
15/02/2024,0
16/02/2024,90
17/02/2024,0
18/02/2024,0
19/02/2024,90
20/02/2024,0
21/02/2024,90
22/02/2024,0
23/02/2024,90
24/02/2024,0
25/02/2024,0
26/02/2024,90
27/02/2024,0
28/02/2024,90
29/02/2024,0
01/03/2024,90
02/03/2024,0
03/03/2024,0
04/03/2024,90
05/03/2024,0
06/03/2024,90
07/03/2024,0
08/03/2024,90
09/03/2024,0
10/03/2024,0
11/03/2024,90
12/03/2024,0
13/03/2024,90
14/03/2024,0
15/03/2024,100
16/03/2024,0
17/03/2024,0
18/03/2024,100
19/03/2024,0
20/03/2024,100
21/03/2024,0
22/03/2024,100
23/03/2024,0
24/03/2024,0
25/03/2024,90
26/03/2024,0
27/03/2024,90
28/03/2024,0
29/03/2024,90
30/03/2024,0
31/03/2024,0
01/04/2024,100
02/04/2024,0
03/04/2024,100
04/04/2024,0
05/04/2024,100
06/04/2024,0
07/04/2024,0
08/04/2024,100
09/04/2024,0
10/04/2024,0
11/04/2024,0
12/04/2024,100
13/04/2024,0
14/04/2024,0
15/04/2024,100
16/04/2024,0
17/04/2024,100
18/04/2024,0
19/04/2024,100
20/04/2024,0
21/04/2024,0
22/04/2024,100
23/04/2024,0
24/04/2024,100
25/04/2024,0
26/04/2024,100
27/04/2024,0
28/04/2024,0
29/04/2024,100
30/04/2024,0
01/05/2024,0
02/05/2024,100
03/05/2024,100
04/05/2024,0
05/05/2024,0
06/05/2024,100
07/05/2024,0
08/05/2024,100
09/05/2024,0
10/05/2024,100
11/05/2024,0
12/05/2024,0
13/05/2024,100
14/05/2024,0
15/05/2024,100
16/05/2024,0
17/05/2024,100
18/05/2024,0
19/05/2024,0
20/05/2024,100
21/05/2024,0
22/05/2024,100
23/05/2024,0
24/05/2024,100
25/05/2024,0
26/05/2024,0
27/05/2024,100
28/05/2024,0
29/05/2024,100
30/05/2024,0
31/05/2024,100
01/06/2024,0
02/06/2024,100
03/06/2024,0
04/06/2024,100
05/06/2024,0
06/06/2024,100
07/06/2024,0
08/06/2024,0
09/06/2024,100
10/06/2024,0
11/06/2024,100
12/06/2024,0
13/06/2024,100
14/06/2024,100
15/06/2024,0
16/06/2024,0
17/06/2024,0
18/06/2024,120
19/06/2024,0
20/06/2024,0
21/06/2024,120
22/06/2024,0
23/06/2024,80
24/06/2024,40
25/06/2024,0
26/06/2024,120
27/06/2024,0
28/06/2024,120
29/06/2024,0
30/06/2024,0
01/07/2024,120
02/07/2024,0
03/07/2024,35
04/07/2024,95
05/07/2024,48
06/07/2024,82
07/07/2024,0
08/07/2024,59
09/07/2024,41
10/07/2024,63
11/07/2024,67
12/07/2024,30
13/07/2024,100
14/07/2024,0
15/07/2024,30
16/07/2024,90
17/07/2024,99
18/07/2024,21
19/07/2024,62
20/07/2024,78
21/07/2024,0
22/07/2024,50
23/07/2024,80
24/07/2024,86
25/07/2024,14
26/07/2024,80
27/07/2024,50
28/07/2024,0
29/07/2024,100
30/07/2024,20
31/07/2024,110
01/08/2024,0
02/08/2024,78
03/08/2024,42
04/08/2024,0
05/08/2024,71
06/08/2024,29
07/08/2024,90
08/08/2024,40
09/08/2024,88
10/08/2024,42
11/08/2024,0
12/08/2024,130
13/08/2024,0
14/08/2024,130
15/08/2024,0
16/08/2024,67
